ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,RAW_MATERIAL_COST,OPERATING_EXPENSES,PURCHASE_CATEGORY
10275,45,92.83,1,4177.35,2019-07-23,326,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Medium,3241.96,1947.68,Utilities
10285,36,113.88,6,4099.68,2019-08-27,292,Shipped,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium,1086.72,1184.21,Raw Materials
10299,23,112.93,9,2597.39,2019-09-30,259,Shipped,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Small,1275.08,1626.58,Utilities
10309,41,107.18,5,4394.38,2019-10-15,245,Shipped,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium,2437.71,1910.17,Raw Materials
10318,46,94.74,1,4358.04,2019-11-02,228,Shipped,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium,1987.17,1483.19,Raw Materials
10329,42,104.67,1,4396.14,2019-11-15,216,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,3314.25,1727.37,Raw Materials
10341,41,188.73,9,7737.93,2019-11-24,208,Shipped,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Large,2091.98,1241.79,Utilities
10361,20,72.55,13,1451.0,2019-12-17,186,Shipped,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small,1587.7,1401.77,Logistics
10375,21,34.91,12,733.11,2020-02-03,139,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small,4465.65,1397.07,Logistics
10388,42,76.36,4,3207.12,2020-03-03,111,Shipped,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Medium,2774.22,1126.71,Raw Materials
10403,24,101.44,7,2434.56,2020-04-08,76,Shipped,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Small,3067.53,1411.61,Marketing
10417,66,113.88,2,7516.08,2020-05-13,42,Disputed,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large,1575.25,725.69,Raw Materials
10103,26,207.87,11,5404.62,2018-01-29,878,Shipped,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium,2455.62,1254.42,Raw Materials
10112,29,248.59,1,7209.11,2018-03-24,825,Shipped,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden,Berglund,Christina,Large,3110.92,1357.56,Raw Materials
10126,38,192.87,11,7329.06,2018-05-28,761,Shipped,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,Mart¡n,Large,1849.01,1371.91,Utilities
10140,37,199.3,11,7374.1,2018-07-24,705,Shipped,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Large,3375.7,1379.25,Salaries
10150,45,244.3,8,10993.5,2018-09-19,649,Shipped,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Large,2399.36,1469.12,Marketing
10163,21,231.44,1,4860.24,2018-10-20,619,Shipped,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,Medium,2708.31,1739.72,Marketing
10174,34,235.73,4,8014.82,2018-11-06,603,Shipped,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Large,2398.29,1937.26,Utilities
10183,23,233.59,8,5372.57,2018-11-13,597,Shipped,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Medium,4852.28,1175.12,Marketing
10194,42,173.58,11,7290.36,2018-11-25,586,Shipped,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Large,2986.5,898.4,Logistics
10206,47,192.87,6,9064.89,2018-12-05,577,Shipped,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada,Tannamuri,Yoshi,Large,1942.29,978.98,Raw Materials
10215,35,173.58,3,6075.3,2019-01-29,523,Shipped,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,94019,USA,Thompson,Steve,Medium,3822.54,1256.4,Marketing
10228,29,222.87,2,6463.23,2019-03-10,484,Shipped,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,51247,USA,Tseng,Kyung,Medium,1779.16,1324.04,Marketing
10245,34,180.01,9,6120.34,2019-05-04,430,Shipped,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,97823,USA,Murphy,Leslie,Medium,3208.86,1115.0,Raw Materials
10258,32,240.02,6,7680.64,2019-06-15,389,Shipped,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Large,1040.33,851.94,Raw Materials
10270,21,233.59,9,4905.39,2019-07-19,356,Shipped,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Medium,1671.81,1271.94,Salaries
10280,34,235.73,2,8014.82,2019-08-17,328,Shipped,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,Large,3196.86,1590.71,Logistics
10291,37,192.87,11,7136.19,2019-09-08,307,Shipped,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Large,3738.47,1797.51,Salaries
10304,47,216.44,6,10172.7,2019-10-11,275,Shipped,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France,Tonini,Daniel,Large,3171.37,1221.29,Logistics
10312,48,242.16,3,11623.7,2019-10-21,266,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Large,2884.35,1293.5,Utilities
10322,40,150.01,1,6000.4,2019-11-04,253,Shipped,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,Medium,2698.9,1036.65,Logistics
10347,30,131.49,1,3944.7,2019-11-29,229,Shipped,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium,1521.48,1484.28,Utilities
10357,32,177.87,10,5691.84,2019-12-10,219,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium,2280.16,1075.79,Salaries
10369,41,110.12,2,4514.92,2020-01-20,179,Shipped,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,USA,Nelson,Allen,Medium,2539.36,1786.56,Raw Materials
10391,24,100.69,4,2416.56,2020-03-09,131,Shipped,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small,4057.12,607.07,Marketing
10411,23,180.01,9,4140.23,2020-05-01,79,Shipped,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Medium,3343.62,1320.19,Marketing
10424,50,240.02,6,12001.0,2020-05-31,50,In Process,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large,1236.96,1650.55,Marketing
10107,39,99.91,5,3896.49,2018-02-24,878,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,3324.08,1591.92,Salaries
10120,29,96.34,3,2793.86,2018-04-29,815,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small,2614.92,2846.52,Utilities
10134,27,122.51,5,3307.77,2018-07-01,753,Shipped,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Medium,2323.08,1674.9,Salaries
10145,37,140.35,9,5192.95,2018-08-25,699,Shipped,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Medium,3611.68,997.97,Utilities
10168,27,135.59,4,3660.93,2018-10-28,636,Shipped,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,4031.0,1452.27,Utilities
10180,42,111.8,12,4695.6,2018-11-11,623,Shipped,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Medium,3931.28,611.88,Marketing
10188,38,96.34,4,3660.92,2018-11-18,617,Shipped,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Medium,2160.78,1459.7,Utilities
10210,23,130.83,2,3009.09,2019-01-12,563,Shipped,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Medium,2690.79,1083.47,Salaries
10223,47,115.37,4,5422.39,2019-02-20,525,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium,3331.26,1957.7,Raw Materials
10236,22,129.64,1,2852.08,2019-04-03,484,Shipped,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Small,3975.55,1225.23,Raw Materials
10251,44,130.83,5,5756.52,2019-05-18,440,Shipped,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Medium,2520.83,1441.62,Utilities
10263,40,111.8,5,4472.0,2019-06-28,400,Shipped,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,Medium,2814.34,1182.22,Utilities
10275,22,132.02,4,2904.44,2019-07-23,376,Shipped,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small,1893.67,2369.43,Marketing
10285,47,137.97,9,6484.59,2019-08-27,342,Shipped,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium,1803.79,1339.38,Logistics
10298,39,96.34,1,3757.26,2019-09-27,312,Shipped,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,44000,France,Schmitt,Carine,Medium,3812.53,2416.28,Utilities
10308,34,118.94,2,4043.96,2019-10-15,295,Shipped,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium,4356.24,1907.08,Salaries
10318,45,123.7,4,5566.5,2019-11-02,278,Shipped,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium,2927.99,1741.03,Raw Materials
10329,20,158.8,2,3176.0,2019-11-15,266,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,4003.53,1684.37,Salaries
10339,40,68.92,4,2756.8,2019-11-23,259,Shipped,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small,3361.64,1696.9,Raw Materials
10361,26,51.15,8,1329.9,2019-12-17,236,Shipped,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small,2354.88,536.16,Salaries
10374,39,135.59,5,5288.01,2020-02-02,190,Shipped,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Medium,3361.4,1360.56,Raw Materials
10388,50,44.51,5,2225.5,2020-03-03,161,Shipped,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small,4538.04,1922.58,Salaries
10402,45,129.64,1,5833.8,2020-04-07,127,Shipped,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,Medium,2964.17,1475.55,Salaries
10417,45,130.83,5,5887.35,2020-05-13,92,Disputed,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium,4564.64,797.41,Salaries
10107,27,224.65,4,6065.55,2018-02-24,902,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,500.0,1473.8,Utilities
10120,46,201.41,2,9264.86,2018-04-29,839,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Large,3821.9,2352.05,Marketing
10134,31,226.58,4,7023.98,2018-07-01,777,Shipped,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Large,3087.05,2123.45,Utilities
10145,33,156.86,8,5176.38,2018-08-25,723,Shipped,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Medium,2700.99,1469.0,Logistics
10168,20,209.15,3,4183.0,2018-10-28,660,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,3091.76,1975.72,Salaries
10180,41,216.9,11,8892.9,2018-11-11,647,Shipped,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Large,1012.43,1316.75,Salaries
10188,45,193.66,3,8714.7,2018-11-18,641,Shipped,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Large,2780.33,648.06,Salaries
10210,34,180.1,1,6123.4,2019-01-12,587,Shipped,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Medium,3357.11,1037.77,Logistics
10223,49,199.47,3,9774.03,2019-02-20,549,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Large,4477.89,2281.44,Raw Materials
10237,39,180.1,9,7023.9,2019-04-05,506,Shipped,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Large,2481.73,1363.0,Utilities
10251,43,164.61,4,7078.23,2019-05-18,464,Shipped,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Large,2191.51,1378.31,Marketing
10263,41,203.34,4,8336.94,2019-06-28,424,Shipped,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,Large,2498.24,1350.08,Raw Materials
10275,36,191.72,3,6901.92,2019-07-23,400,Shipped,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Medium,3915.4,2452.07,Logistics
10285,27,201.41,8,5438.07,2019-08-27,366,Shipped,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium,3328.75,2312.98,Utilities
10299,29,230.46,11,6683.34,2019-09-30,333,Shipped,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Medium,2470.24,2609.39,Raw Materials
10308,20,228.52,1,4570.4,2019-10-15,319,Shipped,Motorcycles,193,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium,3513.27,1420.48,Salaries
10318,37,207.22,3,7667.14,2019-11-02,302,Shipped,Motorcycles,193,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Large,3097.08,1647.81,Utilities
10329,26,225.7,3,5868.2,2019-11-15,290,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,3968.64,741.68,Raw Materials
10339,39,76.67,3,2990.13,2019-11-23,283,Shipped,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small,2297.95,2238.47,Utilities
10362,22,166.55,4,3664.1,2020-01-05,241,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,2672.34,916.11,Salaries
10374,22,174.29,1,3834.38,2020-02-02,214,Shipped,Motorcycles,193,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Medium,2607.89,1608.39,Salaries
10388,21,86.77,7,1822.17,2020-03-03,185,Shipped,Motorcycles,193,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small,1536.49,951.35,Marketing
10403,66,180.1,9,11886.6,2020-04-08,150,Shipped,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Large,3296.12,1205.57,Raw Materials
10417,56,164.61,4,9218.16,2020-05-13,116,Disputed,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large,3261.06,1081.37,Utilities
10105,50,144.16,2,7208.0,2018-02-11,939,Shipped,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Large,3005.11,1196.06,Utilities
10119,46,108.8,11,5004.8,2018-04-28,864,Shipped,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Medium,2765.41,1230.44,Logistics
10129,33,133.28,2,4398.24,2018-06-12,820,Shipped,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK,Brown,Ann,Medium,1584.63,1225.87,Logistics
10143,49,114.24,15,5597.76,2018-08-10,762,Shipped,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,50553,USA,Tam,Wing C,Medium,2579.35,1916.67,Logistics
10155,32,141.44,13,4526.08,2018-10-06,706,Shipped,Classic Cars,136,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Medium,2657.29,947.57,Utilities
10167,44,134.64,9,5924.16,2018-10-23,690,Cancelled,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Medium,2197.72,1610.27,Logistics
10178,24,145.52,12,3492.48,2018-11-08,675,Shipped,Classic Cars,136,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France,Roulet,Annette,Medium,2838.71,2108.98,Utilities
10186,26,148.24,9,3854.24,2018-11-14,670,Shipped,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,WA1 1DP,UK,Hardy,Thomas,Medium,3404.05,1243.4,Marketing
10197,45,118.32,6,5324.4,2018-11-26,659,Shipped,Classic Cars,136,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,8022,Spain,Saavedra,Eduardo,Medium,4886.19,1141.04,Logistics
10222,49,122.4,12,5997.6,2019-02-19,575,Shipped,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,91217,USA,Thompson,Valarie,Medium,3174.58,1384.74,Salaries
10248,20,145.52,3,2910.4,2019-05-07,499,Cancelled,Classic Cars,136,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small,3257.55,2089.86,Salaries
10261,27,125.12,1,3378.24,2019-06-17,459,Shipped,Classic Cars,136,S10_4757,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Medium,2925.55,1597.05,Logistics
10273,30,116.96,4,3508.8,2019-07-21,426,Shipped,Classic Cars,136,S10_4757,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium,Dewey,Catherine,Medium,1081.23,1234.39,Utilities
10283,25,119.68,6,2992.0,2019-08-20,397,Shipped,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Lincoln,Elizabeth,Small,2973.49,1741.94,Marketing
10295,24,142.8,1,3427.2,2019-09-10,377,Shipped,Classic Cars,136,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,Medium,3060.23,948.85,Marketing
10307,22,122.4,9,2692.8,2019-10-14,344,Shipped,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Small,5463.24,1840.68,Marketing
10316,33,125.12,17,4128.96,2019-11-01,327,Shipped,Classic Cars,136,S10_4757,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,PO31 7PJ,UK,Bennett,Helen,Medium,2807.64,1704.3,Raw Materials
